service_period,unit_number,unit_status,resident_id,resident_name,number_of_occupants,square_footage,bedrooms,days_occupied,water_usage,water_charge,sewer_usage,sewer_charge,gas_usage,gas_charge,electric_usage,electric_charge,total_charge
2022-07-01,100,occupied,5163221,James Friedman,5,1200,2,30,5.23,14.64,15.69,26.67,21.22,27.59,76.52,12.24,81.14
2022-08-01,100,occupied,5163221,James Friedman,5,1200,2,30,3.07,8.6,9.21,15.66,22.1,28.73,108.57,17.37,70.36
2022-09-01,100,occupied,5163221,James Friedman,5,1200,2,30,7.78,21.78,23.34,39.68,28.19,36.65,80.67,12.91,111.02
2022-10-01,100,occupied,5163221,James Friedman,5,1200,2,30,9.64,26.99,28.92,49.16,24.95,32.44,68.94,11.03,119.62
2022-11-01,100,occupied,5163221,James Friedman,5,1200,2,30,8.38,23.46,25.14,42.74,16.89,21.96,72.61,11.62,99.78
2022-12-01,100,occupied,5163221,James Friedman,5,1200,2,30,5.39,15.09,16.17,27.49,13.5,17.55,57.62,9.22,69.35
2023-01-01,100,occupied,5163221,James Friedman,5,1200,2,30,5.54,15.51,16.62,28.25,20.01,26.01,93.69,14.99,84.76
2023-02-01,100,occupied,5163221,James Friedman,5,1200,2,30,3.56,9.97,10.68,18.16,20.91,27.18,81.33,13.01,68.32
2023-03-01,100,occupied,5163221,James Friedman,5,1200,2,30,7.75,21.7,23.25,39.52,20.05,26.07,64.21,10.27,97.56
2023-04-01,100,occupied,5163221,James Friedman,5,1200,2,30,9.76,27.33,29.28,49.78,20.86,27.12,141.63,22.66,126.89
2023-05-01,100,occupied,5163221,James Friedman,5,1200,2,30,6.96,19.49,20.88,35.5,17.63,22.92,88.04,14.09,92
2023-06-01,100,occupied,5163221,James Friedman,5,1200,2,30,8.83,24.72,26.49,45.03,10.92,14.2,143.86,23.02,106.97
2023-07-01,100,occupied,5163221,James Friedman,5,1200,2,30,3.84,10.75,11.52,19.58,15.78,20.51,112.61,18.02,68.86
2023-08-01,100,occupied,5163221,James Friedman,5,1200,2,30,4.12,11.54,12.36,21.01,18.82,24.47,149.33,23.89,80.91
2023-09-01,100,occupied,5163221,James Friedman,5,1200,2,30,4.35,12.18,13.05,22.18,10.96,14.25,130.93,20.95,69.56
2023-10-01,100,occupied,5163221,James Friedman,5,1200,2,30,6.03,16.88,18.09,30.75,14.75,19.18,67.78,10.84,77.65
2023-11-01,100,occupied,5163221,James Friedman,5,1200,2,30,8.27,23.16,24.81,42.18,16.7,21.71,71.18,11.39,98.44
2023-12-01,100,occupied,5163221,James Friedman,5,1200,2,30,5.66,15.85,16.98,28.87,14.89,19.36,132.77,21.24,85.32
2024-01-01,100,occupied,5163221,James Friedman,5,1200,2,30,8.63,24.16,25.89,44.01,11.12,14.46,58.79,9.41,92.04
2024-02-01,100,occupied,5163221,James Friedman,5,1200,2,30,4.33,12.12,12.99,22.08,29.86,38.82,103.26,16.52,89.54
2024-03-01,100,occupied,5163221,James Friedman,5,1200,2,30,3.28,9.18,9.84,16.73,18.8,24.44,57.88,9.26,59.61
2020-12-01,100,vacant,0,null,0,1200,2,15,0.12,0.34,0.36,0.61,0.06,0.08,0.15,0.02,1.05
2021-02-01,100,vacant,0,null,0,1200,2,29,0.56,1.57,1.68,2.86,0.93,1.21,3.02,0.48,6.12
2021-09-01,100,vacant,0,null,0,1200,2,26,0.29,0.81,0.87,1.48,0.57,0.74,0.6,0.1,3.13
2022-04-01,100,vacant,0,null,0,1200,2,14,0.06,0.17,0.18,0.31,0.32,0.42,1.45,0.23,1.13
2022-06-01,100,vacant,0,null,0,1200,2,18,0.5,1.4,1.5,2.55,0.49,0.64,0.13,0.02,4.61
2024-04-01,100,vacant,0,null,0,1200,2,20,0.45,1.26,1.35,2.29,0.43,0.56,0.44,0.07,4.18
2025-01-01,100,vacant,0,null,0,1200,2,10,4.26,11.93,12.78,21.73,0.03,0.04,1.36,0.22,33.92
2020-01-01,101,occupied,2187169,James Briggs,5,1200,1,30,6.27,17.56,18.81,31.98,14.83,19.28,97.06,15.53,84.35
2020-02-01,101,occupied,2187169,James Briggs,5,1200,1,30,4.49,12.57,13.47,22.9,14.12,18.36,94.24,15.08,68.91
2020-03-01,101,occupied,2187169,James Briggs,5,1200,1,30,8.09,22.65,24.27,41.26,28.67,37.27,60.55,9.69,110.87
2020-04-01,101,occupied,2187169,James Briggs,5,1200,1,30,7.94,22.23,23.82,40.49,18.32,23.82,142.69,22.83,109.37
2020-05-01,101,occupied,2187169,James Briggs,5,1200,1,30,4.25,11.9,12.75,21.68,23.98,31.17,72.07,11.53,76.28
2020-06-01,101,occupied,2187169,James Briggs,5,1200,1,30,8.29,23.21,24.87,42.28,13.46,17.5,110.86,17.74,100.73
2020-07-01,101,occupied,2187169,James Briggs,5,1200,1,30,7.5,21,22.5,38.25,23.37,30.38,89.67,14.35,103.98
2020-08-01,101,occupied,2187169,James Briggs,5,1200,1,30,8.83,24.72,26.49,45.03,23.37,30.38,71.47,11.44,111.57
2020-09-01,101,occupied,2187169,James Briggs,5,1200,1,30,6,16.8,18,30.6,24.36,31.67,68.33,10.93,90
2020-10-01,101,occupied,2187169,James Briggs,5,1200,1,30,7.65,21.42,22.95,39.02,22.25,28.93,130.02,20.8,110.17
2020-11-01,101,occupied,2187169,James Briggs,5,1200,1,30,7.76,21.73,23.28,39.58,20.85,27.11,107.64,17.22,105.64
2020-12-01,101,occupied,2187169,James Briggs,5,1200,1,30,7.565597932,21.18,23.57044226,40.07,43.30774235,56.3,225.5800363,36.09,153.64
2021-01-01,101,occupied,2187169,James Briggs,5,1200,1,30,5.72,16.02,17.16,29.17,17.73,23.05,149.12,23.86,92.1
2022-08-01,101,occupied,5260549,Albert Mills,2,1200,1,30,7.42,20.78,22.26,37.84,27.23,35.4,96.2,15.39,109.41
2022-09-01,101,occupied,5260549,Albert Mills,2,1200,1,30,6.3,17.64,18.9,32.13,18.66,24.26,127.97,20.48,94.51
2022-10-01,101,occupied,5260549,Albert Mills,2,1200,1,30,5.04,14.11,15.12,25.7,20.43,26.56,98.58,15.77,82.14
2022-11-01,101,occupied,5260549,Albert Mills,2,1200,1,30,3.61,10.11,10.83,18.41,11.63,15.12,127.33,20.37,64.01
2022-12-01,101,occupied,5260549,Albert Mills,2,1200,1,30,7.68,21.5,23.04,39.17,18.83,24.48,148.27,23.72,108.87
2023-01-01,101,occupied,5260549,Albert Mills,2,1200,1,30,6.26,17.53,18.78,31.93,10.68,13.88,129.28,20.68,84.02
2023-02-01,101,occupied,5260549,Albert Mills,2,1200,1,30,5.8,16.24,17.4,29.58,19.94,25.92,142.89,22.86,94.6
2023-03-01,101,occupied,5260549,Albert Mills,2,1200,1,30,3.18,8.9,9.54,16.22,22.58,29.35,51.74,8.28,62.75
2023-04-01,101,occupied,5260549,Albert Mills,2,1200,1,30,4.92,13.78,14.76,25.09,14.54,18.9,98.79,15.81,73.58
2023-05-01,101,occupied,5260549,Albert Mills,2,1200,1,30,9.38,26.26,28.14,47.84,29.35,38.16,123.39,19.74,132
2023-06-01,101,occupied,5260549,Albert Mills,2,1200,1,30,4.02,11.26,12.06,20.5,13.6,17.68,77.64,12.42,61.86
2023-07-01,101,occupied,5260549,Albert Mills,2,1200,1,30,6.53,18.28,19.59,33.3,12.91,16.78,130.58,20.89,89.25
2023-09-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,3.36,9.41,10.08,17.14,20.36,26.47,136.1,21.78,74.8
2023-10-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,8.26,23.13,24.78,42.13,11.18,14.53,105.5,16.88,96.67
2023-11-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,6.88,19.26,20.64,35.09,11.63,15.12,114.23,18.28,87.75
2023-12-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,8.85,24.78,26.55,45.13,16.22,21.09,90.97,14.56,105.56
2024-01-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,3.38,9.46,10.14,17.24,28.58,37.15,124.69,19.95,83.8
2024-02-01,101,occupied,6102937,Ryan Marks,1,1200,1,30,3.62,10.14,10.86,18.46,16.39,21.31,77.55,12.41,62.32
